model,score,params
NousResearch/Nous-Capybara-34B,68.47,34
jondurbin/bagel-34b-v0.2,66.07,34
internlm/internlm2-chat-7b,62.61,7
NousResearch/Nous-Hermes-2-Yi-34B-GGUF,72.68,34
Yhyu13/LMCocktail-10.7B-v1,73.67,10.7
01-ai/Yi-34B-Chat,71.62,34
Open-Orca/Mistral-7B-OpenOrca,66.55,7
fblgit/una-cybertron-7b-v2-bf16,62.83,7
ValiantLabs/ShiningValiant,64.21,70
Intel/neural-chat-7b-v3-1,64.77,7
Toten5/Marcoroni-neural-chat-7B-v2,68.54,7
xDAN-AI/xDAN-L1-Chat-RL-v1,59.51,7
huggingfaceh4/zephyr-7b-beta,58.33,7
madatnlp/marcoroni-7b-v3-safetensor,71.68,7
mistralai/mistral-7b-instruct-v0.1,52.15,7
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,73.56,10.7
huggingfaceh4/zephyr-7b-alpha,56.82,7
meta-llama/Llama-2-13b-chat-hf,49.12,13
zyh3826/GML-Mistral-merged-v1,74.01,7
upstage/SOLAR-10.7B-Instruct-v1.0,73.53,10.7
cognitivecomputations/dolphin-2_2-yi-34b,75.52,34
cognitivecomputations/dolphin-2.2-70b,79.6,70
gpt-4-0314,85.73,
gpt-4-0613,84.79,
gpt-4-1106-preview,86.05,
TheBloke/koala-7B-HF,21.54,7
meta-llama/Llama-2-70b-chat-hf,73.59,70
lmsys/vicuna-7b-v1.1,26.12,7
NousResearch/Nous-Capybara-7B-V1,34.37,7
mistral-medium,82.57,
NousResearch/Llama-2-7b-chat-hf,36.32,7
gemini-pro,75.08,
migtissera/SynthIA-70B-v1.5,73.71,70
openchat/openchat-3.5-1210,72.52,7
openchat/openchat_3.5,72.18,7
mlabonne/Beagle14-7B,74.45,7
mlabonne/NeuralMarcoro14-7B,74.15,7
YeungNLP/firefly-mixtral-8x7b,64.36,8x7 MoE
mlabonne/NeuralHermes-2.5-Mistral-7B,65.86,7
cloudyu/Mixtral_34Bx2_MoE_60B,72.69,34x2 MoE
mistralai/Mixtral-8x7B-Instruct-v0.1,72.37,8x7 MoE
mistralai/Mistral-7B-Instruct-v0.2,68.18,7
lxuechen/phi-2-dpo,54.42,2.7
rhysjones/phi-2-orange,56.94,2.7
mlabonne/phixtral-2x2_8,54.58,2x2.7 MoE
microsoft/phi-2,27.6,2.7
mlabonne/Beyonder-4x7B-v2,69.23,4x7 MoE
gpt-3.5-turbo-1106,71.74,
gpt-3.5-turbo-0613,69.35,
gpt-3.5-turbo-0301,70.67,
rishiraj/meow,73.94,10.7
jondurbin/nontoxic-bagel-34b-v0.2,70.21,34
alpindale/goliath-120b,76.09,120
migtissera/Tess-XL-v1.0,78.46,120
mlabonne/NeuralBeagle14-7B,74.79,7
NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,72.91,8x7 MoE
vince62s/phi-2-psy,56.44,2.7
stabilityai/stablelm-2-zephyr-1_6b,15.04,1.6
cognitivecomputations/MegaDolphin-120b,80.21,120
OrionStarAI/Orion-14B-Chat,59.71,14
cognitivecomputations/laserxtral,71.96,4x7 MoE
deepseek-ai/deepseek-llm-67b-chat,77.53,67
macadeliccc/laser-dolphin-mixtral-2x7b-GGUF,72.72,2x7 MoE
macadeliccc/SOLAR-10.7b-Instruct-dpo,73.21,10.7
tiiuae/falcon-180B-chat,56.82,180
Qwen/Qwen-1_8B-Chat,30,1.8
Qwen/Qwen-14B-Chat,63.47,14
Qwen/Qwen-7B-Chat,50.11,7
01-ai/Yi-6B-Chat,61.79,6
miqudev/miqu-1-70b,82.91,70
DiscoResearch/DiscoLM-120b,78.48,120
Qwen/Qwen-72B-Chat,80.7,72
moreh/MoMo-72B-lora-1.8.7-DPO,78.75,72
